time[ms],force[N],weight[kg]
7377,-9.82,-1
7461,-9.82,-1
7545,-9.82,-1
7629,-9.82,-1
7713,-19.64,-2
7797,-19.64,-2
7881,-19.64,-2
7964,-19.64,-2
8048,-19.64,-2
8132,-19.64,-2
8216,-19.64,-2
8300,-19.64,-2
8384,-19.64,-2
8467,-19.64,-2
8550,-19.64,-2
8634,-19.64,-2
8718,-19.64,-2
8802,-19.64,-2
8886,-19.64,-2
8970,-19.64,-2
9054,-19.64,-2
9137,-19.64,-2
9221,-19.64,-2
9305,-19.64,-2
9389,-29.46,-3
9473,-19.64,-2
9557,-19.64,-2
9641,-29.46,-3
9724,-39.28,-4
9808,-49.1,-5
9892,-88.38,-9
9976,-147.3,-15
10060,-608.84,-62
10144,-2209.5,-225
10228,-4163.68,-424
10311,-6726.7,-685
10395,-9770.9,-995
10479,-12726.720000000001,-1296
10563,-14720.18,-1499
10647,-16350.300000000001,-1665
10731,-17489.420000000002,-1781
10814,-18137.54,-1847
10898,-18324.12,-1866
10981,-18245.56,-1858
11065,-18108.08,-1844
11149,-17754.56,-1808
11233,-17293.02,-1761
11317,-17008.24,-1732
11401,-16851.12,-1716
11485,-16772.56,-1708
11568,-16723.46,-1703
11652,-16694.0,-1700
11736,-16605.62,-1691
11820,-16409.22,-1671
11904,-16242.28,-1654
11988,-16114.62,-1641
12072,-16075.34,-1637
12155,-16075.34,-1637
12239,-16153.9,-1645
12323,-16183.36,-1648
12407,-16242.28,-1654
12491,-16163.720000000001,-1646
12575,-16065.52,-1636
12659,-15996.78,-1629
12742,-15918.220000000001,-1621
12826,-15800.380000000001,-1609
12910,-15849.48,-1614
12994,-15967.32,-1626
13078,-16016.42,-1631
13161,-16055.7,-1635
13245,-16006.6,-1630
13329,-15888.76,-1618
13412,-15770.92,-1606
13496,-15761.1,-1605
13580,-15780.74,-1607
13664,-15800.380000000001,-1609
13748,-15839.66,-1613
13832,-15849.48,-1614
13916,-15751.28,-1604
14000,-15643.26,-1593
14083,-15613.800000000001,-1590
14167,-15574.52,-1586
14251,-15613.800000000001,-1590
14335,-15692.36,-1598
14419,-15741.460000000001,-1603
14503,-15770.92,-1606
14587,-15653.08,-1594
14671,-15417.4,-1570
14754,-15171.9,-1545
14838,-15054.060000000001,-1533
14922,-15024.6,-1530
15006,-15142.44,-1542
15090,-15289.74,-1557
15174,-15476.32,-1576
15257,-15515.6,-1580
15341,-15505.78,-1579
15425,-15515.6,-1580
15509,-15564.7,-1585
15592,-15623.62,-1591
15676,-15692.36,-1598
15760,-15692.36,-1598
15844,-15712.0,-1600
15927,-15682.54,-1597
16011,-15554.880000000001,-1584
16095,-15378.12,-1566
16179,-15260.28,-1554
16263,-15152.26,-1543
16347,-15122.800000000001,-1540
16431,-15230.82,-1551
16515,-15437.04,-1572
16598,-15545.060000000001,-1583
16682,-15662.9,-1595
16766,-15682.54,-1597
16850,-15594.16,-1588
16934,-15554.880000000001,-1584
17018,-15672.720000000001,-1596
17102,-15790.560000000001,-1608
17186,-15908.4,-1620
17269,-16094.98,-1639
17353,-16193.18,-1649
17437,-16222.640000000001,-1652
17521,-16183.36,-1648
17605,-16104.800000000001,-1640
17689,-16036.060000000001,-1633
17773,-16036.060000000001,-1633
17857,-16045.880000000001,-1634
17939,-16055.7,-1635
18023,-16163.720000000001,-1646
18107,-16222.640000000001,-1652
18191,-16252.1,-1655
18275,-16281.560000000001,-1658
18359,-16340.48,-1664
18443,-16330.66,-1663
18527,-16271.74,-1657
18610,-16163.720000000001,-1646
18694,-16055.7,-1635
18778,-15849.48,-1614
18862,-15712.0,-1600
18946,-15564.7,-1585
19030,-15358.48,-1564
19114,-15112.98,-1539
19197,-14936.220000000001,-1521
19281,-14631.800000000001,-1490
19365,-14268.460000000001,-1453
19449,-13846.2,-1410
19533,-13345.380000000001,-1359
19617,-12648.16,-1288
19701,-11725.08,-1194
19785,-10703.800000000001,-1090
19868,-9446.84,-962
19952,-7581.04,-772
20036,-5725.06,-583
20120,-4163.68,-424
20204,-2749.6,-280
20288,-1728.3200000000002,-176
20371,-1473.0,-150
20455,-1374.8,-140
20538,-1256.96,-128
20622,-1188.22,-121
20706,-1148.94,-117
20790,-1119.48,-114
20874,-1129.3,-115
20958,-1168.58,-119
21042,-1217.68,-124
21125,-1247.14,-127
21209,-1276.6000000000001,-130
21293,-1306.06,-133
21377,-1325.7,-135
21461,-1345.3400000000001,-137
21545,-1364.98,-139
