time[ms],force[N],weight[kg]
21629,-1384.6200000000001,-141
21712,-1394.44,-142
21796,-1414.08,-144
21880,-1423.9,-145
21964,-1433.72,-146
22048,-1443.54,-147
22132,-1453.3600000000001,-148
22216,-1473.0,-150
22299,-1482.82,-151
22383,-1482.82,-151
22467,-1492.64,-152
22551,-1502.46,-153
22635,-1482.82,-151
22718,-1404.26,-143
22801,-1266.78,-129
22885,-1040.92,-106
22969,-736.5,-75
23053,-432.08000000000004,-44
23137,-186.58,-19
23221,-19.64,-2
23305,49.1,5
23388,39.28,4
23472,0.0,0
23556,-29.46,-3
23640,-49.1,-5
23724,-58.92,-6
23808,-68.74000000000001,-7
23892,-88.38,-9
23975,-98.2,-10
24059,-108.02000000000001,-11
24143,-117.84,-12
24227,-117.84,-12
24311,-117.84,-12
24395,-127.66,-13
24479,-127.66,-13
24563,-127.66,-13
24646,-137.48000000000002,-14
24730,-137.48000000000002,-14
24814,-147.3,-15
24898,-147.3,-15
24982,-157.12,-16
25065,-157.12,-16
25149,-157.12,-16
25232,-157.12,-16
25316,-166.94,-17
25400,-166.94,-17
25484,-166.94,-17
25568,-176.76,-18
25652,-176.76,-18
