time[ms],force[N],weight[kg]
11735,-19.64,-2
11819,-29.46,-3
11903,-29.46,-3
11987,-29.46,-3
12071,-19.64,-2
12155,-19.64,-2
12239,-9.82,-1
12322,-9.82,-1
12406,-9.82,-1
12490,-9.82,-1
12573,-9.82,-1
12657,-9.82,-1
12741,-9.82,-1
12825,-9.82,-1
12908,-9.82,-1
12992,-9.82,-1
13076,-9.82,-1
13160,-9.82,-1
13244,-19.64,-2
13328,-19.64,-2
13412,-19.64,-2
13495,-19.64,-2
13579,-19.64,-2
13663,-19.64,-2
13747,-19.64,-2
13831,-19.64,-2
13915,-19.64,-2
13999,-19.64,-2
14082,-19.64,-2
14166,-39.28,-4
14250,-108.02000000000001,-11
14334,-373.16,-38
14418,-815.0600000000001,-83
14502,-1276.6000000000001,-130
14586,-1718.5,-175
14669,-2052.38,-209
14753,-2268.42,-231
14837,-2533.56,-258
14921,-3407.54,-347
15004,-4988.56,-508
15088,-7129.320000000001,-726
15172,-9731.62,-991
15255,-12314.28,-1254
15339,-14435.4,-1470
15423,-15937.86,-1623
15507,-16851.12,-1716
15591,-17165.36,-1748
15675,-17155.54,-1747
15759,-16959.14,-1727
15842,-16752.920000000002,-1706
15926,-16605.62,-1691
16010,-16448.5,-1675
16094,-16389.58,-1669
16178,-16360.12,-1666
16262,-16232.460000000001,-1653
16346,-16114.62,-1641
16429,-16016.42,-1631
16513,-15928.04,-1622
16597,-15888.76,-1618
16681,-15849.48,-1614
16765,-15780.74,-1607
16849,-15731.640000000001,-1602
16933,-15594.16,-1588
17016,-15368.300000000001,-1565
17100,-15279.92,-1556
17184,-15230.82,-1551
17268,-15260.28,-1554
17351,-15329.02,-1561
17435,-15427.220000000001,-1571
17519,-15476.32,-1576
17602,-15368.300000000001,-1565
17686,-15250.460000000001,-1553
17770,-15260.28,-1554
17854,-15279.92,-1556
17938,-15191.54,-1547
18022,-15230.82,-1551
18106,-15279.92,-1556
18189,-15250.460000000001,-1553
18273,-15221.0,-1550
18357,-15358.48,-1564
18441,-15525.42,-1581
18525,-15702.18,-1599
18609,-15790.560000000001,-1608
18693,-15810.2,-1610
18777,-15751.28,-1604
18860,-15741.460000000001,-1603
18944,-15653.08,-1594
19028,-15623.62,-1591
19112,-15643.26,-1593
19196,-15682.54,-1597
19280,-15672.720000000001,-1596
19364,-15594.16,-1588
19447,-15437.04,-1572
19531,-15299.560000000001,-1558
19615,-15181.720000000001,-1546
19698,-15093.34,-1537
19782,-15201.36,-1548
19866,-15446.86,-1573
19950,-15643.26,-1593
20033,-15780.74,-1607
20117,-15888.76,-1618
20201,-15888.76,-1618
20285,-15820.02,-1611
20369,-15741.460000000001,-1603
20453,-15702.18,-1599
20537,-15643.26,-1593
20620,-15594.16,-1588
20704,-15525.42,-1581
20788,-15456.68,-1574
20872,-15329.02,-1561
20956,-15191.54,-1547
21040,-14985.32,-1526
21124,-14877.300000000001,-1515
21207,-14887.12,-1516
21291,-14936.220000000001,-1521
21375,-14946.04,-1522
21459,-14975.5,-1525
21543,-14847.84,-1512
21627,-14680.9,-1495
21710,-14504.140000000001,-1477
21794,-14455.04,-1472
21878,-14513.960000000001,-1478
21962,-14612.16,-1488
22045,-14730.0,-1500
22129,-14798.74,-1507
22213,-14730.0,-1500
22296,-14612.16,-1488
22380,-14533.6,-1480
22464,-14405.94,-1467
22548,-14356.84,-1462
22632,-14455.04,-1472
22716,-14592.52,-1486
22800,-14730.0,-1500
22883,-14877.300000000001,-1515
22967,-14936.220000000001,-1521
23051,-14896.94,-1517
23135,-14838.02,-1511
23219,-14739.82,-1501
23303,-14700.54,-1497
23387,-14759.460000000001,-1503
23470,-14867.48,-1514
23554,-14946.04,-1522
23638,-15044.24,-1532
23722,-15073.7,-1535
23806,-14975.5,-1525
23890,-14788.92,-1506
23974,-14582.7,-1485
24057,-14405.94,-1467
24141,-14209.54,-1447
24225,-14032.78,-1429
24309,-13944.4,-1420
24393,-13806.92,-1406
24476,-13423.94,-1367
24560,-12893.66,-1313
24643,-12324.1,-1255
24727,-11548.32,-1176
24811,-10409.2,-1060
24895,-9034.4,-920
24979,-7620.320000000001,-776
25063,-5980.38,-609
25147,-4340.4400000000005,-442
25230,-3142.4,-320
25314,-2405.9,-245
25398,-1885.44,-192
25482,-1649.76,-168
25566,-1492.64,-152
25650,-1276.6000000000001,-130
25734,-1040.92,-106
25817,-834.7,-85
25901,-667.76,-68
25985,-569.5600000000001,-58
26069,-589.2,-60
26153,-638.3000000000001,-65
26237,-677.58,-69
26321,-716.86,-73
26405,-765.96,-78
