time[ms],force[N],weight[kg]
52135,157.12,16
52219,147.3,15
52303,137.48000000000002,14
52386,117.84,12
52470,108.02000000000001,11
52554,108.02000000000001,11
52638,98.2,10
52722,98.2,10
52806,88.38,9
52890,88.38,9
52974,88.38,9
53057,88.38,9
53141,88.38,9
53225,78.56,8
53309,78.56,8
53393,78.56,8
53477,78.56,8
53561,88.38,9
53644,88.38,9
53728,98.2,10
53812,108.02000000000001,11
53896,117.84,12
53979,117.84,12
54063,127.66,13
54146,147.3,15
54230,157.12,16
54314,157.12,16
54398,157.12,16
54482,157.12,16
54566,137.48000000000002,14
54650,137.48000000000002,14
54733,127.66,13
54817,117.84,12
54901,117.84,12
54985,117.84,12
55069,117.84,12
