time[ms],force[N],weight[kg]
36375,9.82,1
36458,-9.82,-1
36542,-19.64,-2
36626,-29.46,-3
36710,-49.1,-5
36794,-49.1,-5
36878,-49.1,-5
36961,-29.46,-3
37045,-29.46,-3
37129,-19.64,-2
37213,-19.64,-2
37297,-19.64,-2
37381,-29.46,-3
37465,-49.1,-5
37547,-58.92,-6
37631,-49.1,-5
37715,-39.28,-4
37799,-39.28,-4
37883,-19.64,-2
37967,9.82,1
38051,29.46,3
38135,39.28,4
38218,39.28,4
38302,39.28,4
38386,9.82,1
38470,-29.46,-3
38554,-78.56,-8
38638,-147.3,-15
38721,-235.68,-24
38805,-284.78000000000003,-29
38889,-353.52,-36
38973,-422.26,-43
39057,-451.72,-46
39141,-491.0,-50
39225,-599.02,-61
39308,-697.22,-71
39392,-746.32,-76
39476,-844.52,-86
39560,-942.72,-96
39644,-1099.8400000000001,-112
39728,-1620.3,-165
39811,-2631.76,-268
39894,-3898.54,-397
39978,-5322.4400000000005,-542
40062,-6903.46,-703
40146,-8396.1,-855
40230,-9564.68,-974
40314,-10625.24,-1082
40397,-11666.16,-1188
40481,-12766.0,-1300
40565,-13924.76,-1418
40649,-15181.720000000001,-1546
40733,-16369.94,-1667
40817,-17538.52,-1786
40900,-18412.5,-1875
40984,-18923.14,-1927
41068,-19090.08,-1944
41152,-19158.82,-1951
41236,-18982.06,-1933
41320,-18677.64,-1902
41404,-18235.74,-1857
41487,-17941.14,-1827
41571,-17626.9,-1795
41655,-17410.86,-1773
41739,-17401.04,-1772
41823,-17577.8,-1790
41907,-17666.18,-1799
41990,-17813.48,-1814
42074,-18009.88,-1834
42158,-18147.36,-1848
42242,-18147.36,-1848
42325,-18068.8,-1840
42409,-17882.22,-1821
42493,-17548.34,-1787
42576,-17135.9,-1745
42660,-16782.38,-1709
42744,-16546.7,-1685
42828,-16428.86,-1673
42912,-16419.04,-1672
42996,-16458.32,-1676
43079,-16595.8,-1690
43163,-16723.46,-1703
43247,-16792.2,-1710
43331,-16782.38,-1709
43415,-16694.0,-1700
43499,-16556.52,-1686
43582,-16311.02,-1661
43666,-16036.060000000001,-1633
43750,-15869.12,-1616
43834,-15810.2,-1610
43918,-15682.54,-1597
44002,-15594.16,-1588
44086,-15486.140000000001,-1577
44169,-15378.12,-1566
44253,-15260.28,-1554
44337,-15230.82,-1551
44421,-15348.66,-1563
44505,-15653.08,-1594
44589,-15908.4,-1620
44671,-16173.54,-1647
44755,-16527.06,-1683
44839,-16762.74,-1707
44923,-16831.48,-1714
45007,-16831.48,-1714
45091,-16644.9,-1695
45175,-16261.92,-1656
45258,-15908.4,-1620
45342,-15603.98,-1589
45426,-15387.94,-1567
45510,-15368.300000000001,-1565
45594,-15338.84,-1562
45678,-15221.0,-1550
45761,-15083.52,-1536
45845,-15004.960000000001,-1528
45929,-14710.36,-1498
46013,-14513.960000000001,-1478
46097,-14464.86,-1473
46181,-14425.58,-1469
46264,-14347.02,-1461
46348,-14445.220000000001,-1471
46432,-14513.960000000001,-1478
46516,-14582.7,-1485
46600,-14690.720000000001,-1496
46684,-14749.640000000001,-1502
46768,-14808.560000000001,-1508
46851,-14965.68,-1524
46934,-14975.5,-1525
47018,-14818.380000000001,-1509
47102,-14661.26,-1493
47186,-14435.4,-1470
47270,-14111.34,-1437
47353,-13924.76,-1418
47437,-13875.66,-1413
47521,-13914.94,-1417
47605,-14013.140000000001,-1427
47689,-14072.060000000001,-1433
47773,-14032.78,-1429
47857,-13964.04,-1422
47940,-13885.48,-1414
48024,-13856.02,-1411
48108,-14022.960000000001,-1428
48192,-14317.560000000001,-1458
48276,-14612.16,-1488
48360,-14710.36,-1498
48443,-14572.880000000001,-1484
48527,-13983.68,-1424
48611,-12874.02,-1311
48695,-11528.68,-1174
48779,-10291.36,-1048
48863,-9122.78,-929
48946,-8101.5,-825
49030,-7296.26,-743
49114,-6657.96,-678
49198,-6078.58,-619
49282,-5577.76,-568
49365,-5253.7,-535
49449,-5145.68,-524
49532,-5076.9400000000005,-517
49616,-4929.64,-502
49700,-4723.42,-481
49784,-4507.38,-459
49868,-4232.42,-431
49952,-3918.1800000000003,-399
50035,-3653.04,-372
50119,-3446.82,-351
50203,-3240.6,-330
50287,-3034.38,-309
50371,-2857.62,-291
50455,-2729.96,-278
50539,-2602.3,-265
50622,-2494.28,-254
50706,-2474.64,-252
50790,-2494.28,-254
50874,-2513.92,-256
50958,-2523.7400000000002,-257
51042,-2533.56,-258
51126,-2543.38,-259
51210,-2543.38,-259
51293,-2553.2000000000003,-260
51377,-2553.2000000000003,-260
51461,-2563.02,-261
51545,-2563.02,-261
51629,-2572.84,-262
51712,-2572.84,-262
51795,-2572.84,-262
51879,-2572.84,-262
51963,-2572.84,-262
52047,-2572.84,-262
52131,-2572.84,-262
52215,-2572.84,-262
52299,-2572.84,-262
52382,-2572.84,-262
52466,-2572.84,-262
52550,-2572.84,-262
52634,-2572.84,-262
52718,-2563.02,-261
52802,-2533.56,-258
52885,-2405.9,-245
52969,-2140.76,-218
53053,-1757.78,-179
53137,-1355.16,-138
53221,-962.36,-98
53305,-648.12,-66
53388,-451.72,-46
53472,-343.7,-35
53556,-265.14,-27
53640,-176.76,-18
53724,-98.2,-10
53808,-39.28,-4
53892,-9.82,-1
53974,0.0,0
54058,-9.82,-1
54142,-29.46,-3
54226,-49.1,-5
54310,-58.92,-6
54394,-68.74000000000001,-7
54477,-68.74000000000001,-7
54561,-68.74000000000001,-7
54645,-68.74000000000001,-7
54729,-78.56,-8
54813,-78.56,-8
54897,-78.56,-8
54981,-88.38,-9
55064,-88.38,-9
55148,-98.2,-10
55232,-98.2,-10
55316,-108.02000000000001,-11
55400,-108.02000000000001,-11
55484,-108.02000000000001,-11
55568,-117.84,-12
55651,-117.84,-12
55735,-117.84,-12
55819,-127.66,-13
55903,-127.66,-13
55987,-127.66,-13
56071,-137.48000000000002,-14
56154,-137.48000000000002,-14
56238,-137.48000000000002,-14
56322,-137.48000000000002,-14
56405,-147.3,-15
56489,-147.3,-15
56573,-147.3,-15
56657,-147.3,-15
56740,-147.3,-15
56824,-147.3,-15
56908,-147.3,-15
56992,-147.3,-15
57076,-157.12,-16
57160,-157.12,-16
57243,-157.12,-16
57327,-157.12,-16
57411,-147.3,-15
57495,-137.48000000000002,-14
57579,-127.66,-13
57663,-127.66,-13
57746,-127.66,-13
57830,-137.48000000000002,-14
57914,-137.48000000000002,-14
57998,-147.3,-15
58082,-147.3,-15
58166,-157.12,-16
58250,-157.12,-16
58333,-166.94,-17
